wavelength (nm),Spectral irradiance (W⋅m–2⋅nm–1),Cumulative photon flux (cm–2⋅s–1)
992,0.7475,2.339E+017
993,0.7389,2.343E+017
994,0.7496,2.347E+017
995,0.7499,2.351E+017
996,0.7463,2.354E+017
997,0.739,2.358E+017
998,0.737,2.362E+017
999,0.7358,2.366E+017
1000,0.7345,2.369E+017
1001,0.7389,2.373E+017
1002,0.7288,2.377E+017
1003,0.7299,2.38E+017
1004,0.7173,2.384E+017
1005,0.689,2.387E+017
1006,0.7089,2.391E+017
1007,0.7233,2.395E+017
1008,0.7241,2.398E+017
1009,0.7188,2.402E+017
1010,0.7176,2.406E+017
1011,0.72,2.409E+017
1012,0.7174,2.413E+017
1013,0.7165,2.417E+017
1014,0.717,2.42E+017
1015,0.708,2.424E+017
1016,0.7076,2.427E+017
1017,0.7034,2.431E+017
1018,0.7075,2.435E+017
1019,0.6914,2.438E+017
1020,0.6961,2.442E+017
1021,0.6981,2.445E+017
1022,0.6901,2.449E+017
1023,0.6919,2.452E+017
1024,0.6904,2.456E+017
1025,0.6949,2.46E+017
1026,0.6939,2.463E+017
1027,0.6915,2.467E+017
1028,0.6909,2.47E+017
1029,0.6856,2.474E+017
1030,0.6879,2.477E+017
1031,0.6856,2.481E+017
1032,0.6844,2.485E+017
1033,0.676,2.488E+017
1034,0.6778,2.492E+017
1035,0.6798,2.495E+017
1036,0.6791,2.499E+017
1037,0.6735,2.502E+017
1038,0.6709,2.506E+017
1039,0.673,2.509E+017
1040,0.6705,2.513E+017
1041,0.67,2.516E+017
1042,0.6691,2.52E+017
1043,0.6643,2.523E+017
1044,0.6653,2.527E+017
1045,0.6611,2.53E+017
1046,0.6485,2.534E+017
1047,0.6545,2.537E+017
1048,0.6598,2.541E+017
1049,0.657,2.544E+017
1050,0.6535,2.547E+017
1051,0.6525,2.551E+017
1052,0.6493,2.554E+017
1053,0.647,2.558E+017
1054,0.6455,2.561E+017
1055,0.6465,2.565E+017
1056,0.645,2.568E+017
1057,0.6424,2.571E+017
1058,0.6345,2.575E+017
1059,0.6215,2.578E+017
1060,0.63,2.582E+017
1061,0.6224,2.585E+017
1062,0.6283,2.588E+017
1063,0.6234,2.592E+017
1064,0.6285,2.595E+017
1065,0.6259,2.598E+017
1066,0.617,2.602E+017
1067,0.6184,2.605E+017
1068,0.614,2.608E+017
1069,0.5914,2.611E+017
1070,0.6023,2.615E+017
1071,0.6134,2.618E+017
1072,0.6126,2.621E+017
1073,0.6058,2.624E+017
1074,0.6141,2.628E+017
1075,0.5974,2.631E+017
1076,0.609,2.634E+017
1077,0.6041,2.638E+017
1078,0.6023,2.641E+017
1079,0.602,2.644E+017
1080,0.5948,2.647E+017
1081,0.5823,2.651E+017
1082,0.5879,2.654E+017
1083,0.5926,2.657E+017
1084,0.5813,2.66E+017
1085,0.5853,2.663E+017
1086,0.5594,2.666E+017
1087,0.5668,2.669E+017
1088,0.5861,2.673E+017
1089,0.5766,2.676E+017
1090,0.5611,2.679E+017
1091,0.582,2.682E+017
1092,0.572,2.685E+017
1093,0.5215,2.688E+017
1094,0.532,2.691E+017
1095,0.5193,2.694E+017
1096,0.5135,2.697E+017
1097,0.5583,2.7E+017
1098,0.5119,2.703E+017
1099,0.5028,2.705E+017
1100,0.4883,2.708E+017
1101,0.491,2.711E+017
1102,0.4711,2.713E+017
1103,0.4655,2.716E+017
1104,0.4708,2.719E+017
1105,0.4866,2.721E+017
1106,0.4211,2.724E+017
1107,0.4629,2.726E+017
1108,0.4223,2.729E+017
1109,0.4205,2.731E+017
1110,0.4514,2.734E+017
1111,0.3595,2.736E+017
1112,0.3839,2.738E+017
1113,0.2899,2.739E+017
1114,0.2889,2.741E+017
1115,0.2493,2.742E+017
1116,0.1918,2.743E+017
1117,0.1118,2.744E+017
1118,0.1868,2.745E+017
1119,0.1296,2.746E+017
1120,0.1438,2.747E+017
1121,0.1667,2.748E+017
1122,0.1002,2.748E+017
1123,0.1197,2.749E+017
1124,0.115,2.749E+017
1125,0.1279,2.75E+017
1126,0.07618,2.751E+017
1127,0.1365,2.751E+017
1128,0.1071,2.752E+017
1129,0.1007,2.753E+017
1130,0.1029,2.753E+017
1131,0.2592,2.755E+017
1132,0.2308,2.756E+017
1133,0.1491,2.757E+017
1134,0.05225,2.757E+017
1135,0.03275,2.757E+017
1136,0.1338,2.758E+017
1137,0.2566,2.76E+017
1138,0.2254,2.761E+017
1139,0.2808,2.762E+017
1140,0.2526,2.764E+017
1141,0.2046,2.765E+017
1142,0.231,2.766E+017
1143,0.2754,2.768E+017
1144,0.1419,2.769E+017
1145,0.1433,2.77E+017
1146,0.1434,2.77E+017
1147,0.09763,2.771E+017
1148,0.2371,2.772E+017
1149,0.2124,2.774E+017
1150,0.1434,2.774E+017
1151,0.1983,2.776E+017
1152,0.2403,2.777E+017
1153,0.2264,2.778E+017
1154,0.1751,2.779E+017
1155,0.2868,2.781E+017
1156,0.2883,2.783E+017
1157,0.3094,2.784E+017
1158,0.3145,2.786E+017
1159,0.3266,2.788E+017
1160,0.2999,2.79E+017
1161,0.3396,2.792E+017
1162,0.3635,2.794E+017
1163,0.444,2.797E+017
1164,0.4076,2.799E+017
1165,0.3879,2.801E+017
1166,0.3801,2.803E+017
1167,0.4058,2.806E+017
1168,0.4174,2.808E+017
1169,0.4259,2.811E+017
1170,0.4514,2.813E+017
1171,0.4491,2.816E+017
1172,0.4533,2.819E+017
1173,0.44,2.821E+017
1174,0.3653,2.824E+017
1175,0.4396,2.826E+017
1176,0.4715,2.829E+017
1177,0.4575,2.832E+017
1178,0.3884,2.834E+017
1179,0.4613,2.837E+017
1180,0.4463,2.839E+017
1181,0.4356,2.842E+017
1182,0.3529,2.844E+017
1183,0.4204,2.847E+017
1184,0.4196,2.849E+017
1185,0.4164,2.852E+017
1186,0.4645,2.854E+017
1187,0.4418,2.857E+017
1188,0.3591,2.859E+017
1189,0.4106,2.862E+017
1190,0.4533,2.864E+017
1191,0.4504,2.867E+017
1192,0.4663,2.87E+017
1193,0.4573,2.872E+017
1194,0.4634,2.875E+017
1195,0.4468,2.878E+017
1196,0.4378,2.881E+017
1197,0.4649,2.883E+017
1198,0.4298,2.886E+017
1199,0.383,2.888E+017
1200,0.4353,2.891E+017
1201,0.4374,2.894E+017
1202,0.4356,2.896E+017
1203,0.4244,2.899E+017
1204,0.3794,2.901E+017
1205,0.4321,2.904E+017
1206,0.4681,2.907E+017
1207,0.4358,2.909E+017
1208,0.4293,2.912E+017
1209,0.4203,2.914E+017
1210,0.4433,2.917E+017
1211,0.4253,2.92E+017
1212,0.4291,2.922E+017
1213,0.4581,2.925E+017
1214,0.4366,2.928E+017
1215,0.4325,2.93E+017
1216,0.4589,2.933E+017
1217,0.4559,2.936E+017
1218,0.4559,2.939E+017
1219,0.4481,2.941E+017
1220,0.4564,2.944E+017
1221,0.4614,2.947E+017
1222,0.4509,2.95E+017
1223,0.4444,2.953E+017
1224,0.4483,2.955E+017
1225,0.46,2.958E+017
1226,0.4619,2.961E+017
1227,0.4405,2.964E+017
1228,0.461,2.967E+017
1229,0.465,2.97E+017
1230,0.4614,2.972E+017
1231,0.4688,2.975E+017
1232,0.4643,2.978E+017
1233,0.4565,2.981E+017
1234,0.4664,2.984E+017
1235,0.4651,2.987E+017
1236,0.4668,2.99E+017
1237,0.4634,2.993E+017
1238,0.4656,2.995E+017
1239,0.4615,2.998E+017
1240,0.4595,3.001E+017
1241,0.4608,3.004E+017
1242,0.4604,3.007E+017
1243,0.4564,3.01E+017
1244,0.4544,3.013E+017
1245,0.4553,3.015E+017
1246,0.4574,3.018E+017
1247,0.4564,3.021E+017
1248,0.457,3.024E+017
1249,0.4576,3.027E+017
1250,0.4556,3.03E+017
1251,0.4515,3.033E+017
1252,0.4496,3.036E+017
1253,0.446,3.038E+017
1254,0.4434,3.041E+017
1255,0.4469,3.044E+017
1256,0.4396,3.047E+017
1257,0.4359,3.049E+017
1258,0.4405,3.052E+017
1259,0.4288,3.055E+017
1260,0.427,3.058E+017
1261,0.4106,3.06E+017
1262,0.3974,3.063E+017
1263,0.3949,3.065E+017
1264,0.3768,3.068E+017
1265,0.3905,3.07E+017
1266,0.3858,3.073E+017
1267,0.3844,3.075E+017
1268,0.3559,3.077E+017
1269,0.2789,3.079E+017
